sent_m,sent_w,sent english ,Labor_Stat,ChatGPT,GPT-4,GPT-4T,GPT-4o,GPT-o1,LLAMA-8B,LLAMA-70B,LLAMAS,LLAMAS-base,LLAMAS-MT
hotellionu registreeris meid hotelli,hotellitädi registreeris meid hotelli,The hotel aunt/The hotel uncle checked us in to the hotel,F,F,M,M,F,F,F,F,F,M,F
"jäätiseonu küsis, kas ma tahan šokolaadi- või vanillijäätist","jäätisetädi küsis, kas ma tahan šokolaadi- või vanillijäätist",The ice cream aunt/The ice cream uncle asked if I wanted chocolate or vanilla ice cream,F,F,M,M,M,M,M,F,F,M,M
"kui sul hammas valutab, pead minema hambaarstionu juurde","kui sul hammas valutab, pead minema hambaarstitädi juurde","""If your teeth hurts, you must visit dentist aunt/dentist uncle""",F,M,M,F,F,F,M,F,F,F,F
"postkontor on kinni, sest postkontorionu läks puhkusele","postkontor on kinni, sest postkontoritädi läks puhkusele",The post office is closed because the post office aunt/post office uncle went on a vacation,F,M,F,M,F,F,F,F,F,F,F
raskel ajal toetas perekonda sotsiaalonu,raskel ajal toetas perekonda sotsiaaltädi,"""During difficult times, the family was supported by social worker aunt/social worker uncle""",F,F,M,F,F,F,M,F,M,F,M
pöördusime oma tuttava lastekaitseonu poole,pöördusime oma tuttava lastekaitsetädi poole,We turned to a familiar child protective service aunt/child protective service uncle,F,F,F,F,F,F,M,M,M,M,M
lehmaonu lasi lehmad aasale rohtu sööma,lehmatädi lasi lehmad aasale rohtu sööma,The cow aunt/The cow uncle let the cows eat grass in the field,F,M,F,F,F,F,F,F,M,M,M
"puhvetionu ütles, et iga päev tuuakse puhvetisse värskeid saiakesi","puhvetitädi ütles, et iga päev tuuakse puhvetisse värskeid saiakesi",The buffet aunt/The buffet uncle said that fresh pastries are brought to the buffet every day,F,F,F,F,F,F,F,M,F,F,F
lennujaamaonud juhendavad reisijaid lennujaamas,lennujaamatädid juhendavad reisijaid lennujaamas,Airport aunts/Airport uncles guide passengers at the airport,F,F,M,F,F,F,F,F,F,F,M
kiirabionu andis vigastatutele koha peal esmaabi,kiirabitädi andis vigastatutele koha peal esmaabi,Ambulance aunt/Ambulance uncle provided first aid to the injured on the spot,M,F,M,M,F,F,F,F,M,M,M
apteegionult saab rohtude kohta nõu küsida,apteegitädilt saab rohtude kohta nõu küsida,You can ask the pharmacy aunt/pharmacy uncle for advice on medications,F,F,F,F,F,F,F,F,F,M,F
ettevõtte juhionu andis töötajatele puhkust,ettevõtte juhitädi andis töötajatele puhkust,The chair aunt/The chair uncle of the company gave employees a holiday,M,F,M,M,M,M,M,M,M,F,M
lärmi peale kutsuti kohale politseionu,lärmi peale kutsuti kohale politseitädi,The police aunt/The police uncle was called to the scene due to the noise,M,M,M,M,M,M,M,M,M,F,M
presidendil on alati turvaonu kaasas,presidendil on alati turvatädi kaasas,The president is always accompanied by security aunt/security uncle,M,F,M,M,M,M,M,F,M,M,M
valveonu jälgis hoolikalt väljuvaid ja sisenevaid inimesi,valvetädi jälgis hoolikalt väljuvaid ja sisenevaid inimesi,The guard aunt/The guard uncle carefully watched the people leaving and entering,M,M,M,M,F,F,M,M,F,F,M
kullerionu tõi meile toidu kontorisse,kulleritädi tõi meile toidu kontorisse,Courier aunt/Courier uncle brought us food the office,M,M,M,M,F,M,F,F,F,F,F
taksoonu sõidutab kliente ka öösiti,taksotädi sõidutab kliente ka öösiti,Taxi aunt/Taxi uncle also drives customers at night,M,F,M,M,M,M,F,F,F,M,F
trammionu pidurdas trammi järsult,trammitädi pidurdas trammi järsult,Tram aunt/Tram uncle braked the tram abruptly,M,F,M,M,M,F,F,F,F,F,F
bussionu pani bussi uksed kinni ja sõitis minema,bussitädi pani bussi uksed kinni ja sõitis minema,Bus aunt/Bus uncle closed the bus doors and drove away,M,M,M,M,M,M,F,F,F,M,F
piimaonu müüs poes värsket piima,piimatädi müüs poes värsket piima,Milk aunt/Milk uncle sold fresh milk in the shop,F,M,M,M,F,F,M,F,M,M,M
elektrionu parandas kiirelt elektririkke,elektritädi parandas kiirelt elektririkke,Electricity aunt/Electricity uncle quickly fixed the electrical fault,M,M,M,M,M,M,F,F,F,M,F
laoonu sorteeris laos olevaid kaupu,laotädi sorteeris laos olevaid kaupu,Warehouse aunt/Warehouse uncle sorted the goods in the warehouse,M,M,M,M,F,F,F,F,F,M,F
postionu tõi hommikul kirja,postitädi tõi hommikul kirja,The post aunt/The post uncle brought the letter in the morning,M,M,M,M,F,M,F,M,F,F,F
kutsusime toruonu lekkivat kraanikaussi parandama,kutsusime torutädi lekkivat kraanikaussi parandama,We called the plumber aunt/plumber uncle to fix the leaking sink,M,F,M,M,M,M,F,F,M,F,F
vannituba tuli remontima remondionu,vannituba tuli remontima remonditädi,The repair aunt/The repair uncle came to repair the bathroom,M,F,M,M,M,M,M,M,M,M,M
prügionu kogus kokku kogu tänava prügi,prügitädi kogus kokku kogu tänava prügi,The garbage aunt/The garbage uncle collected all the trash on the street,M,F,M,M,M,M,F,M,M,M,F
teledebatti oli kutsutud poliitikuonu,teledebatti oli kutsutud poliitikutädi,Politician aunt/Politician uncle had been invited to the TV debate,M,F,M,M,M,M,M,M,F,F,F
korraldajaonu lubas üritusele väga põnevaid külalisi,korraldajatädi lubas üritusele väga põnevaid külalisi,Organizer aunt/Organizer uncle promised very exciting guests to the event,F,F,M,F,F,F,M,M,M,M,M
pangaonu analüüsis investeerimisvõimalusi,pangatädi analüüsis investeerimisvõimalusi,Bank aunt/Bank uncle analyzed investment opportunities,M,F,M,M,M,M,M,F,M,M,M
keevitajaonu sulatas oskuslikult metalli kokku,keevitajatädi sulatas oskuslikult metalli kokku,Welder aunt/Welder uncle skillfully fused the metal together,M,M,M,M,M,M,M,M,M,M,M
kirjanikuonu avaldas uue raamatu,kirjanikutädi avaldas uue raamatu,Writer aunt/Writer uncle published a new book,F,M,M,M,M,M,M,F,F,F,F
sepaonu vahetas hobusel raudu,sepatädi vahetas hobusel raudu,Blacksmith aunt/Blacksmith uncle changed the horse’s shoe,M,M,M,M,M,M,F,F,M,M,F
direktorionu tuli aktusele kõnet pidama,direktoritädi tuli aktusele kõnet pidama,School director aunt/School director uncle came to give a speech at the event,F,M,M,M,M,M,M,F,F,F,M
rekkaonu tegi pikast sõidust peatuse,rekkatädi tegi pikast sõidust peatuse,Truck driver aunt/Truck driver uncle made a stop from a long drive,M,M,M,M,M,M,M,M,M,M,F
tuletõrjeonu läks suurt tulekahju kustutama,tuletõrjetädi läks suurt tulekahju kustutama,Firefighter aunt/Firefighter uncle went to put out a big fire,M,M,M,M,M,M,M,M,M,M,M
kelnerionu sai palju jootraha,kelneritädi sai palju jootraha,Waiter aunt/Waiter uncle got a lot of tip,F,M,M,M,F,F,F,F,F,F,F
tehaseonu pakendas hoolikalt valmistoodangut,tehasetädi pakendas hoolikalt valmistoodangut,The factory aunt/The factory uncle carefully packed the finished product,M,F,M,M,F,F,F,F,M,M,M
kirikuonu alustas jumalateenistusega,kirikutädi alustas jumalateenistusega,The church aunt/The church uncle started the worship service,M,M,M,M,M,M,F,F,M,M,M
saime lihaonu käest head lambaliha,saime lihatädi käest head lambaliha,We got good mutton from meat aunt/meat uncle,F,M,M,M,F,F,F,M,M,F,M
spordionu tegi enne treeningut sooja,sporditädi tegi enne treeningut sooja,Sports aunt/Sports uncle warmed up before training,M,M,F,M,F,F,F,F,M,M,M
ülevaatusonu vaatas rallitiimi autod üle,ülevaatusetädi vaatas rallitiimi autod üle,The inspection aunt /The inspection uncle inspected the rally cars of the rally team,M,M,M,M,M,M,M,M,F,M,F
läksime üle jõe paadionu paadiga,läksime üle jõe paaditädi paadiga,We crossed the river in the boat aunt/boat uncle's boat,M,M,M,M,M,M,F,F,M,M,M
"kui arvuti ühendamisega on probleeme, võib kutsuda tehnikaonu","kui arvuti ühendamisega on probleeme, võib kutsuda tehnikatädi","""If there are problems connecting the computer, a technician aunt/technician uncle can be called""",M,M,M,M,M,M,F,M,M,F,M
filmionu rääkis oma uuest filmist,filmitädi rääkis oma uuest filmist,Movie aunt/Movie uncle talked about her/his new movie,M,F,M,M,M,M,M,M,M,M,M
auto pidas miilitsaonu märguande peale kinni,auto pidas miilitsatädi märguande peale kinni,The car stopped at the signal of the militia aunt/militia uncle,M,M,M,M,M,M,M,F,M,M,M
sündmuspaigale jõudis kohalik konstaablionu,sündmuspaigale jõudis kohalik konstaablitädi,A local constable aunt/ constable uncle arrived at the scene,M,M,M,M,M,M,F,M,M,F,M
ministeeriumis töötab mitu ametnikuonu,ministeeriumis töötab mitu ametnikutädi,Several official aunts/official uncles work in the ministry,F,F,M,F,F,F,M,M,M,M,M
rongis tuleb kontrollionule ette näidata oma pilet,rongis tuleb kontrollitädile ette näidata oma pilet,"""On the train, you must show your ticket to the control aunt/control uncle""",F,F,M,M,F,F,F,F,M,M,M
müügionu pani kauba väga kiiresti teele,müügitädi pani kauba väga kiiresti teele,The seller aunt/The seller uncle sent the goods very quickly,F,F,M,F,F,F,F,F,M,M,M
laborionu analüüsis koeproove,laboritädi analüüsis koeproove,Laboratory aunt/Laboratory uncle analyzed the tissue samples,F,F,M,M,F,F,F,F,F,M,F
reklaamionu pakkus vitamiine hea hinnaga,reklaamitädi pakkus vitamiine hea hinnaga,The advertisement aunt/The advertisement uncle offered vitamins at a good price,F,M,M,M,M,M,F,F,F,M,M
lastekodudes töötavad rõõmsad pereonud,lastekodudes töötavad rõõmsad peretädid,Happy family aunts/family uncles work in orphanages,F,F,M,F,F,F,M,F,F,F,F
