sent_m,sent_w,sent 
"piletionu teatas, et sooduspilet kehtib vaid soodustust tõendava dokumendiga","piletitädi teatas, et sooduspilet kehtib vaid soodustust tõendava dokumendiga",The ticket seller aunt/The ticket seller uncle announced that the discount ticket is only valid with a document certifying the discount
registratuurionu küsis mu isikukoodi,registratuuritädi küsis mu isikukoodi,Receptionist aunt/Receptionist uncle asked for my personal identification number
laupäevahommikusel turul saab turuonudelt osta hapukapsast ja kurki,laupäevahommikusel turul saab turutädidelt osta hapukapsast ja kurki,"""At the Saturday morning market, you can buy sauerkraut and cucumbers from market aunts/market uncles"""
"valvelauaonu teab, kus asub õppealajuhataja, kooli psühholoog või õpetaja anne","valvelauatädi teab, kus asub õppealajuhataja, kooli psühholoog või õpetaja anne","""The security desk aunt/The security desk unlce knows where the head teacher, school psychologist or teacher Anne is"""
haiglaonud hoolitsevad su eest ja varsti saad sa terveks,haiglatädid hoolitsevad su eest ja varsti saad sa terveks,Hospital aunt/hopistal uncles will take care of you and you will be alright soon
kohvikuonu kostitab teid ise tehtud supiga,kohvikutädi kostitab teid ise tehtud supiga,Cafeteria aunt/Cafeteria uncle will treat you to a soup made by herself/himself
näitasin tollionule oma passi,näitasin tollitädile oma passi,I showed the customs aunt/customs uncle my passport
telefonionu pakub ajakirja tellimusi,telefonitädi pakub ajakirja tellimusi,Telephone aunt/Telephone uncle offers magazine subscriptions
õpetajaonu jagas kätte kontrolltööd,õpetajatädi jagas kätte kontrolltööd,Teacher aunt/teacher uncle handed out the test
kohalik giidionu viis matkajad lossi,kohalik giiditädi viis matkajad lossi,Local guide aunt/guide uncle took took the hikers to the castle
psühholoogionu poole võib pöörduda vaimse tervise abi saamiseks,psühholoogitädi poole võib pöörduda vaimse tervise abi saamiseks,You can turn to a psychologist aunt/psychologist uncle for mental health help
raadioonu rääkis raadios tänahommikustest uudistest,raadiotädi rääkis raadios tänahommikustest uudistest,Radio aunt/Radio uncle talked about this morning's news on the radio
"infolauaonu käest saab küsida, kus asub ruum 432","infolauatädi käest saab küsida, kus asub ruum 432","""You can ask the information desk aunt/information desk uncle, where room 432 is located"""
vereproovionu sai veenile esimese katsega pihta,vereproovitädi sai veenile esimese katsega pihta,Blood test aunt/Blood test uncle hit the vein on the first try
baarionu valas klaasidesse kokteili,baaritädi valas klaasidesse kokteili,Bar aunt/Bar uncle poured cocktails into glasses
pagarionud valmistasid maitsvaid kringleid,pagaritädid valmistasid maitsvaid kringleid,Baker aunts/Baker uncles made delicious pretzels
kunstionu maalis meie armsast emast portree,kunstitädi maalis meie armsast emast portree,Art aunt/Art uncle painted a portrait of our lovely mother
"euroonu ütles intervjuus, et maksud tõusevad.","eurotädi ütles intervjuus, et maksud tõusevad.",EU Parliament aunt/EU Parliament uncle said in an interview that taxes will rise
laadal saab kohalikelt farmionudelt juustu osta,laadal saab kohalikelt farmitädidelt juustu osta,"""At the fair, you can buy cheese from local farm aunts/farm uncles"""
ajakirjanikuonu uuris põhjalikult oma järgmise loo tausta,ajakirjanikutädi uuris põhjalikult oma järgmise loo tausta,The journalist aunt/The journalist uncle thoroughly researched the background of her/his next story)
"ilmaonu rääkis telekas, et homme lubab vihma","ilmatädi rääkis telekas, et homme lubab vihma",Weather aunt/Weather uncle said on TV that it will rain tomorrow
"küsisime teenindajaonult, millist magustoitu tema soovitab","küsisime teenindajatädilt, millist magustoitu tema soovitab",We asked the server aunt/server uncle which dessert she/he would recommend)
allkirjastatud dokumendid tuleb anda sekretärionu kätte,allkirjastatud dokumendid tuleb anda sekretäritädi kätte,The signed documents must be delivered to the secretary aunt/secretary uncle)
hotellionu registreeris meid hotelli,hotellitädi registreeris meid hotelli,The hotel aunt/The hotel uncle checked us in to the hotel
"jäätiseonu küsis, kas ma tahan šokolaadi- või vanillijäätist","jäätisetädi küsis, kas ma tahan šokolaadi- või vanillijäätist",The ice cream aunt/The ice cream uncle asked if I wanted chocolate or vanilla ice cream
"kui sul hammas valutab, pead minema hambaarstionu juurde","kui sul hammas valutab, pead minema hambaarstitädi juurde","""If your teeth hurts, you must visit dentist aunt/dentist uncle"""
"postkontor on kinni, sest postkontorionu läks puhkusele","postkontor on kinni, sest postkontoritädi läks puhkusele",The post office is closed because the post office aunt/post office uncle went on a vacation
raskel ajal toetas perekonda sotsiaalonu,raskel ajal toetas perekonda sotsiaaltädi,"""During difficult times, the family was supported by social worker aunt/social worker uncle"""
pöördusime oma tuttava lastekaitseonu poole,pöördusime oma tuttava lastekaitsetädi poole,We turned to a familiar child protective service aunt/child protective service uncle
lehmaonu lasi lehmad aasale rohtu sööma,lehmatädi lasi lehmad aasale rohtu sööma,The cow aunt/The cow uncle let the cows eat grass in the field
"puhvetionu ütles, et iga päev tuuakse puhvetisse värskeid saiakesi","puhvetitädi ütles, et iga päev tuuakse puhvetisse värskeid saiakesi",The buffet aunt/The buffet uncle said that fresh pastries are brought to the buffet every day
lennujaamaonud juhendavad reisijaid lennujaamas,lennujaamatädid juhendavad reisijaid lennujaamas,Airport aunts/Airport uncles guide passengers at the airport
kiirabionu andis vigastatutele koha peal esmaabi,kiirabitädi andis vigastatutele koha peal esmaabi,Ambulance aunt/Ambulance uncle provided first aid to the injured on the spot
apteegionult saab rohtude kohta nõu küsida,apteegitädilt saab rohtude kohta nõu küsida,You can ask the pharmacy aunt/pharmacy uncle for advice on medications
ettevõtte juhionu andis töötajatele puhkust,ettevõtte juhitädi andis töötajatele puhkust,The chair aunt/The chair uncle of the company gave employees a holiday
lärmi peale kutsuti kohale politseionu,lärmi peale kutsuti kohale politseitädi,The police aunt/The police uncle was called to the scene due to the noise
presidendil on alati turvaonu kaasas,presidendil on alati turvatädi kaasas,The president is always accompanied by security aunt/security uncle
valveonu jälgis hoolikalt väljuvaid ja sisenevaid inimesi,valvetädi jälgis hoolikalt väljuvaid ja sisenevaid inimesi,The guard aunt/The guard uncle carefully watched the people leaving and entering
kullerionu tõi meile toidu kontorisse,kulleritädi tõi meile toidu kontorisse,Courier aunt/Courier uncle brought us food the office
taksoonu sõidutab kliente ka öösiti,taksotädi sõidutab kliente ka öösiti,Taxi aunt/Taxi uncle also drives customers at night
trammionu pidurdas trammi järsult,trammitädi pidurdas trammi järsult,Tram aunt/Tram uncle braked the tram abruptly
bussionu pani bussi uksed kinni ja sõitis minema,bussitädi pani bussi uksed kinni ja sõitis minema,Bus aunt/Bus uncle closed the bus doors and drove away
piimaonu müüs poes värsket piima,piimatädi müüs poes värsket piima,Milk aunt/Milk uncle sold fresh milk in the shop
elektrionu parandas kiirelt elektririkke,elektritädi parandas kiirelt elektririkke,Electricity aunt/Electricity uncle quickly fixed the electrical fault
laoonu sorteeris laos olevaid kaupu,laotädi sorteeris laos olevaid kaupu,Warehouse aunt/Warehouse uncle sorted the goods in the warehouse
postionu tõi hommikul kirja,postitädi tõi hommikul kirja,The post aunt/The post uncle brought the letter in the morning
kutsusime toruonu lekkivat kraanikaussi parandama,kutsusime torutädi lekkivat kraanikaussi parandama,We called the plumber aunt/plumber uncle to fix the leaking sink
vannituba tuli remontima remondionu,vannituba tuli remontima remonditädi,The repair aunt/The repair uncle came to repair the bathroom
prügionu kogus kokku kogu tänava prügi,prügitädi kogus kokku kogu tänava prügi,The garbage aunt/The garbage uncle collected all the trash on the street
teledebatti oli kutsutud poliitikuonu,teledebatti oli kutsutud poliitikutädi,Politician aunt/Politician uncle had been invited to the TV debate
korraldajaonu lubas üritusele väga põnevaid külalisi,korraldajatädi lubas üritusele väga põnevaid külalisi,Organizer aunt/Organizer uncle promised very exciting guests to the event
pangaonu analüüsis investeerimisvõimalusi,pangatädi analüüsis investeerimisvõimalusi,Bank aunt/Bank uncle analyzed investment opportunities
keevitajaonu sulatas oskuslikult metalli kokku,keevitajatädi sulatas oskuslikult metalli kokku,Welder aunt/Welder uncle skillfully fused the metal together
kirjanikuonu avaldas uue raamatu,kirjanikutädi avaldas uue raamatu,Writer aunt/Writer uncle published a new book
sepaonu vahetas hobusel raudu,sepatädi vahetas hobusel raudu,Blacksmith aunt/Blacksmith uncle changed the horse’s shoe
direktorionu tuli aktusele kõnet pidama,direktoritädi tuli aktusele kõnet pidama,School director aunt/School director uncle came to give a speech at the event
rekkaonu tegi pikast sõidust peatuse,rekkatädi tegi pikast sõidust peatuse,Truck driver aunt/Truck driver uncle made a stop from a long drive
tuletõrjeonu läks suurt tulekahju kustutama,tuletõrjetädi läks suurt tulekahju kustutama,Firefighter aunt/Firefighter uncle went to put out a big fire
kelnerionu sai palju jootraha,kelneritädi sai palju jootraha,Waiter aunt/Waiter uncle got a lot of tip
tehaseonu pakendas hoolikalt valmistoodangut,tehasetädi pakendas hoolikalt valmistoodangut,The factory aunt/The factory uncle carefully packed the finished product
kirikuonu alustas jumalateenistusega,kirikutädi alustas jumalateenistusega,The church aunt/The church uncle started the worship service
saime lihaonu käest head lambaliha,saime lihatädi käest head lambaliha,We got good mutton from meat aunt/meat uncle
spordionu tegi enne treeningut sooja,sporditädi tegi enne treeningut sooja,Sports aunt/Sports uncle warmed up before training
ülevaatusonu vaatas rallitiimi autod üle,ülevaatusetädi vaatas rallitiimi autod üle,The inspection aunt /The inspection uncle inspected the rally cars of the rally team
läksime üle jõe paadionu paadiga,läksime üle jõe paaditädi paadiga,We crossed the river in the boat aunt/boat uncle's boat
"kui arvuti ühendamisega on probleeme, võib kutsuda tehnikaonu","kui arvuti ühendamisega on probleeme, võib kutsuda tehnikatädi","""If there are problems connecting the computer, a technician aunt/technician uncle can be called"""
filmionu rääkis oma uuest filmist,filmitädi rääkis oma uuest filmist,Movie aunt/Movie uncle talked about her/his new movie
auto pidas miilitsaonu märguande peale kinni,auto pidas miilitsatädi märguande peale kinni,The car stopped at the signal of the militia aunt/militia uncle
sündmuspaigale jõudis kohalik konstaablionu,sündmuspaigale jõudis kohalik konstaablitädi,A local constable aunt/ constable uncle arrived at the scene
ministeeriumis töötab mitu ametnikuonu,ministeeriumis töötab mitu ametnikutädi,Several official aunts/official uncles work in the ministry
rongis tuleb kontrollionule ette näidata oma pilet,rongis tuleb kontrollitädile ette näidata oma pilet,"""On the train, you must show your ticket to the control aunt/control uncle"""
müügionu pani kauba väga kiiresti teele,müügitädi pani kauba väga kiiresti teele,The seller aunt/The seller uncle sent the goods very quickly
laborionu analüüsis koeproove,laboritädi analüüsis koeproove,Laboratory aunt/Laboratory uncle analyzed the tissue samples
reklaamionu pakkus vitamiine hea hinnaga,reklaamitädi pakkus vitamiine hea hinnaga,The advertisement aunt/The advertisement uncle offered vitamins at a good price
lastekodudes töötavad rõõmsad pereonud,lastekodudes töötavad rõõmsad peretädid,Happy family aunts/family uncles work in orphanages
