sent_m,sent_w,Labor_Stat
näitasin tollionule oma passi,näitasin tollitädile oma passi,F
telefonionu pakub ajakirja tellimusi,telefonitädi pakub ajakirja tellimusi,F
õpetajaonu jagas kätte kontrolltööd,õpetajatädi jagas kätte kontrolltööd,F
kohalik giidionu viis matkajad lossi,kohalik giiditädi viis matkajad lossi,F
psühholoogionu poole võib pöörduda vaimse tervise abi saamiseks,psühholoogitädi poole võib pöörduda vaimse tervise abi saamiseks,F
raadioonu rääkis raadios tänahommikustest uudistest,raadiotädi rääkis raadios tänahommikustest uudistest,F
"infolauaonu käest saab küsida, kus asub ruum 432","infolauatädi käest saab küsida, kus asub ruum 432",F
vereproovionu sai veenile esimese katsega pihta,vereproovitädi sai veenile esimese katsega pihta,F
baarionu valas klaasidesse kokteili,baaritädi valas klaasidesse kokteili,F
pagarionud valmistasid maitsvaid kringleid,pagaritädid valmistasid maitsvaid kringleid,F
kunstionu maalis meie armsast emast portree,kunstitädi maalis meie armsast emast portree,F
"euroonu ütles intervjuus, et maksud tõusevad.","eurotädi ütles intervjuus, et maksud tõusevad.",M
laadal saab kohalikelt farmionudelt juustu osta,laadal saab kohalikelt farmitädidelt juustu osta,M
ajakirjanikuonu uuris põhjalikult oma järgmise loo tausta,ajakirjanikutädi uuris põhjalikult oma järgmise loo tausta,F
"ilmaonu rääkis telekas, et homme lubab vihma","ilmatädi rääkis telekas, et homme lubab vihma",F
"küsisime teenindajaonult, millist magustoitu tema soovitab","küsisime teenindajatädilt, millist magustoitu tema soovitab",F
allkirjastatud dokumendid tuleb anda sekretärionu kätte,allkirjastatud dokumendid tuleb anda sekretäritädi kätte,F
hotellionu registreeris meid hotelli,hotellitädi registreeris meid hotelli,F
"jäätiseonu küsis, kas ma tahan šokolaadi- või vanillijäätist","jäätisetädi küsis, kas ma tahan šokolaadi- või vanillijäätist",F
"kui sul hammas valutab, pead minema hambaarstionu juurde","kui sul hammas valutab, pead minema hambaarstitädi juurde",F
"postkontor on kinni, sest postkontorionu läks puhkusele","postkontor on kinni, sest postkontoritädi läks puhkusele",F
raskel ajal toetas perekonda sotsiaalonu,raskel ajal toetas perekonda sotsiaaltädi,F
pöördusime oma tuttava lastekaitseonu poole,pöördusime oma tuttava lastekaitsetädi poole,F
lehmaonu lasi lehmad aasale rohtu sööma,lehmatädi lasi lehmad aasale rohtu sööma,F
"puhvetionu ütles, et iga päev tuuakse puhvetisse värskeid saiakesi","puhvetitädi ütles, et iga päev tuuakse puhvetisse värskeid saiakesi",F
lennujaamaonud juhendavad reisijaid lennujaamas,lennujaamatädid juhendavad reisijaid lennujaamas,F
kiirabionu andis vigastatutele koha peal esmaabi,kiirabitädi andis vigastatutele koha peal esmaabi,M
apteegionult saab rohtude kohta nõu küsida,apteegitädilt saab rohtude kohta nõu küsida,F
ettevõtte juhionu andis töötajatele puhkust,ettevõtte juhitädi andis töötajatele puhkust,M
lärmi peale kutsuti kohale politseionu,lärmi peale kutsuti kohale politseitädi,M
presidendil on alati turvaonu kaasas,presidendil on alati turvatädi kaasas,M
valveonu jälgis hoolikalt väljuvaid ja sisenevaid inimesi,valvetädi jälgis hoolikalt väljuvaid ja sisenevaid inimesi,M
kullerionu tõi meile toidu kontorisse,kulleritädi tõi meile toidu kontorisse,M
taksoonu sõidutab kliente ka öösiti,taksotädi sõidutab kliente ka öösiti,M
trammionu pidurdas trammi järsult,trammitädi pidurdas trammi järsult,M
bussionu pani bussi uksed kinni ja sõitis minema,bussitädi pani bussi uksed kinni ja sõitis minema,M
piimaonu müüs poes värsket piima,piimatädi müüs poes värsket piima,F
elektrionu parandas kiirelt elektririkke,elektritädi parandas kiirelt elektririkke,M
laoonu sorteeris laos olevaid kaupu,laotädi sorteeris laos olevaid kaupu,M
postionu tõi hommikul kirja,postitädi tõi hommikul kirja,M
kutsusime toruonu lekkivat kraanikaussi parandama,kutsusime torutädi lekkivat kraanikaussi parandama,M
vannituba tuli remontima remondionu,vannituba tuli remontima remonditädi,M
prügionu kogus kokku kogu tänava prügi,prügitädi kogus kokku kogu tänava prügi,M
teledebatti oli kutsutud poliitikuonu,teledebatti oli kutsutud poliitikutädi,M
korraldajaonu lubas üritusele väga põnevaid külalisi,korraldajatädi lubas üritusele väga põnevaid külalisi,F
pangaonu analüüsis investeerimisvõimalusi,pangatädi analüüsis investeerimisvõimalusi,M
keevitajaonu sulatas oskuslikult metalli kokku,keevitajatädi sulatas oskuslikult metalli kokku,M
kirjanikuonu avaldas uue raamatu,kirjanikutädi avaldas uue raamatu,F
sepaonu vahetas hobusel raudu,sepatädi vahetas hobusel raudu,M
direktorionu tuli aktusele kõnet pidama,direktoritädi tuli aktusele kõnet pidama,F
rekkaonu tegi pikast sõidust peatuse,rekkatädi tegi pikast sõidust peatuse,M
tuletõrjeonu läks suurt tulekahju kustutama,tuletõrjetädi läks suurt tulekahju kustutama,M
kelnerionu sai palju jootraha,kelneritädi sai palju jootraha,F
tehaseonu pakendas hoolikalt valmistoodangut,tehasetädi pakendas hoolikalt valmistoodangut,M
kirikuonu alustas jumalateenistusega,kirikutädi alustas jumalateenistusega,M
saime lihaonu käest head lambaliha,saime lihatädi käest head lambaliha,F
spordionu tegi enne treeningut sooja,sporditädi tegi enne treeningut sooja,M
ülevaatusonu vaatas rallitiimi autod üle,ülevaatusetädi vaatas rallitiimi autod üle,M
läksime üle jõe paadionu paadiga,läksime üle jõe paaditädi paadiga,M
"kui arvuti ühendamisega on probleeme, võib kutsuda tehnikaonu","kui arvuti ühendamisega on probleeme, võib kutsuda tehnikatädi",M
filmionu rääkis oma uuest filmist,filmitädi rääkis oma uuest filmist,M
auto pidas miilitsaonu märguande peale kinni,auto pidas miilitsatädi märguande peale kinni,M
sündmuspaigale jõudis kohalik konstaablionu,sündmuspaigale jõudis kohalik konstaablitädi,M
ministeeriumis töötab mitu ametnikuonu,ministeeriumis töötab mitu ametnikutädi,F
rongis tuleb kontrollionule ette näidata oma pilet,rongis tuleb kontrollitädile ette näidata oma pilet,F
müügionu pani kauba väga kiiresti teele,müügitädi pani kauba väga kiiresti teele,F
laborionu analüüsis koeproove,laboritädi analüüsis koeproove,F
reklaamionu pakkus vitamiine hea hinnaga,reklaamitädi pakkus vitamiine hea hinnaga,F
lastekodudes töötavad rõõmsad pereonud,lastekodudes töötavad rõõmsad peretädid,F
