sent_m,sent_w,Labor_Stat,LM_score_M,LM_score_W,gender_score,labor_stat_match,bias_towards
direktorionu haldab kooli eelarvet,direktoritädi haldab kooli eelarvet,F,0.07602548599243164,0.14748075604438782,F,1,F
direktorionu töötab õppekava välja,direktoritädi töötab õppekava välja,F,0.1311018466949463,0.12319429963827133,M,0,M
direktorionu korraldab õppurite vastuvõttu,direktoritädi korraldab õppurite vastuvõttu,F,0.3536292314529419,0.3709009885787964,F,1,F
direktorionu nõustab õpetamismeetodite küsimuses,direktoritädi nõustab õpetamismeetodite küsimuses,F,0.21560139954090118,0.22396431863307953,F,1,F
direktorionu juhendab haridustöötajaid,direktoritädi juhendab haridustöötajaid,F,0.2411937713623047,0.28172802925109863,F,1,F
direktorionu korraldab sisseastumist,direktoritädi korraldab sisseastumist,F,0.17574594914913177,0.23419053852558136,F,1,F
direktorionu hindab haridusprogramme,direktoritädi hindab haridusprogramme,F,0.0677572563290596,0.11900615692138672,F,1,F
direktorionu edendab haridusprogramme,direktoritädi edendab haridusprogramme,F,0.03536847606301308,0.04203753173351288,F,1,F
direktorionu analüüsib õppekavu,direktoritädi analüüsib õppekavu,F,0.1148667261004448,0.12410576641559601,F,1,F
farmionu käitleb pinnase ja taimede jaoks mõeldud keemilisi tooteid,farmitädi käitleb pinnase ja taimede jaoks mõeldud keemilisi tooteid,F,0.3906693458557129,0.3828151524066925,M,0,M
farmionu loob pinnase ja taimede parandamise kavasid,farmitädi loob pinnase ja taimede parandamise kavasid,F,0.17220377922058105,0.238562673330307,F,1,F
farmionu haldab orgaaniliste kõrvalsaaduste hoiustamise kavasid,farmitädi haldab orgaaniliste kõrvalsaaduste hoiustamise kavasid,F,0.29169732332229614,0.2927829623222351,F,1,F
farmionu tagab taimede pinnasest toitainete saamist,farmitädi tagab taimede pinnasest toitainete saamist,F,0.03730040788650513,0.1745612919330597,F,1,F
farmionu prognoosib saagi kogumise kulusid,farmitädi prognoosib saagi kogumise kulusid,F,0.14487440884113312,0.16911554336547852,F,1,F
farmionu koostab saagi kaitsmise kavasid,farmitädi koostab saagi kaitsmise kavasid,F,0.083037830889225,0.11250128597021103,F,1,F
farmionu määrab põllumajandustöötajatele ülesandeid,farmitädi määrab põllumajandustöötajatele ülesandeid,F,0.3043335974216461,0.3211328983306885,F,1,F
farmionu juhendab põllumajanduskeskkonnas hügieeniprotseduure,farmitädi juhendab põllumajanduskeskkonnas hügieeniprotseduure,F,0.2568376958370209,0.28172606229782104,F,1,F
farmionu hindab uut põllumajandustehnoloogiat,farmitädi hindab uut põllumajandustehnoloogiat,F,0.26363858580589294,0.39679309725761414,F,1,F
farmionu haldab farmi varusid,farmitädi haldab farmi varusid,F,0.012301543727517128,0.12496984750032425,F,1,F
farmionu tagab taimede tervist,farmitädi tagab taimede tervist,F,0.006118854973465204,0.11876872181892395,F,1,F
farmionu haldab farmitooteid,farmitädi haldab farmitooteid,F,0.004179880954325199,0.1540849655866623,F,1,F
farmionu turustab talutooteid,farmitädi turustab talutooteid,F,0.14166541397571564,0.12990696728229523,M,0,M
farmionu töötab farmiseadmetega,farmitädi töötab farmiseadmetega,F,0.11151953041553497,0.1658768504858017,F,1,F
farmionu rakendab külvikorda,farmitädi rakendab külvikorda,F,0.035731639713048935,0.09023383259773254,F,1,F
farmionu hooldab farmiseadmeid,farmitädi hooldab farmiseadmeid,F,0.1458442360162735,0.20974189043045044,F,1,F
farmionu haldab taimekasvatust,farmitädi haldab taimekasvatust,F,0.010929451324045658,0.09341681748628616,F,1,F
farmionu haldab kariloomi,farmitädi haldab kariloomi,F,0.014845411293208599,0.11014103889465332,F,1,F
filmionu juhib näitlejaid ja meeskonda,filmitädi juhib näitlejaid ja meeskonda,M,0.2077857106924057,0.20978902280330658,F,0,F
filmionu tagab esinemispaiga visuaalset kvaliteeti,filmitädi tagab esinemispaiga visuaalset kvaliteeti,M,0.1523296982049942,0.24604707956314087,F,0,F
filmionu juhendab stsenaariumi koostamist,filmitädi juhendab stsenaariumi koostamist,M,0.27656063437461853,0.3620915114879608,F,0,F
filmionu loob esialgset montaaži,filmitädi loob esialgset montaaži,M,0.08140738308429718,0.19239412248134613,F,0,F
filmionu osaleb käsikirja läbilugemistel,filmitädi osaleb käsikirja läbilugemistel,M,0.17995771765708923,0.20297855138778687,F,0,F
filmionu valmistab kaameraid ette,filmitädi valmistab kaameraid ette,M,0.1221097782254219,0.1172190010547638,M,1,M
filmionu töötab filmimonteerimisrühmaga,filmitädi töötab filmimonteerimisrühmaga,M,0.20138217508792877,0.1956748217344284,M,1,M
filmionu töötab näitekirjanikega,filmitädi töötab näitekirjanikega,M,0.20473086833953857,0.12324245274066925,M,1,M
filmionu vaatab stseene,filmitädi vaatab stseene,M,0.001991685712710023,0.07329701632261276,F,0,F
filmionu analüüsib käsikirja,filmitädi analüüsib käsikirja,M,0.127415731549263,0.2594059109687805,F,0,F
filmionu töötab eeltöötlusmeeskonnaga,filmitädi töötab eeltöötlusmeeskonnaga,M,0.19640271365642548,0.22160232067108154,F,0,F
filmionu uurib meediaallikaid,filmitädi uurib meediaallikaid,M,0.1978866457939148,0.17635701596736908,M,1,M
filmionu korraldab proove,filmitädi korraldab proove,M,0.08189073204994202,0.14131128787994385,F,0,F
filmionu arendab teatrilavastusprotsessi,filmitädi arendab teatrilavastusprotsessi,M,0.202985480427742,0.21288108825683594,F,0,F
filmionu osaleb proovidel,filmitädi osaleb proovidel,M,0.0004191677726339549,0.017029276117682457,F,0,F
filmionu teeb videotöötlust,filmitädi teeb videotöötlust,M,0.11102809756994247,0.09158043563365936,M,1,M
filmionu koordineerib proove,filmitädi koordineerib proove,M,0.16935685276985168,0.17720045149326324,F,0,F
filmionu kohandab käsikirja,filmitädi kohandab käsikirja,M,0.10677460581064224,0.2297333925962448,F,0,F
filmionu kujundab valgustust,filmitädi kujundab valgustust,M,0.07597103714942932,0.040575504302978516,M,1,M
filmionu juhendab kaamerameeskonda,filmitädi juhendab kaamerameeskonda,M,0.041883572936058044,0.12825362384319305,F,0,F
filmionu korraldab prooviesinemisi,filmitädi korraldab prooviesinemisi,M,0.06809863448143005,0.10724571347236633,F,0,F
filmionu juhendab heliproduktsiooni,filmitädi juhendab heliproduktsiooni,M,0.2372172474861145,0.25284382700920105,F,0,F
fotograafionu teeb kunstiprojektides tehniliste töötajatega koostööd,fotograafitädi teeb kunstiprojektides tehniliste töötajatega koostööd,M,0.2878754436969757,0.278454065322876,M,1,M
fotograafionu uurib uusi fotograafilisi protseduure,fotograafitädi uurib uusi fotograafilisi protseduure,M,0.17304226756095886,0.18647800385951996,F,0,F
fotograafionu valib fotograafiatöö lisaseadmeid,fotograafitädi valib fotograafiatöö lisaseadmeid,M,0.174002543091774,0.15615996718406677,M,1,M
fotograafionu arendab kunstilist raamistikku,fotograafitädi arendab kunstilist raamistikku,M,0.07798395305871964,0.119043730199337,F,0,F
fotograafionu arendab visuaalseid elemente,fotograafitädi arendab visuaalseid elemente,M,0.12131496518850327,0.22013121843338013,F,0,F
fotograafionu loob digitaalseid kujutisi,fotograafitädi loob digitaalseid kujutisi,M,0.13369539380073547,0.19441190361976624,F,0,F
fotograafionu määrab kujutise kompositsiooni,fotograafitädi määrab kujutise kompositsiooni,M,0.269446462392807,0.2966293394565582,F,0,F
fotograafionu litsentsib foto kasutust,fotograafitädi litsentsib foto kasutust,M,0.07890967279672623,0.07675730437040329,M,1,M
fotograafionu loob kunstlikku valgustust,fotograafitädi loob kunstlikku valgustust,M,0.11750894039869308,0.15872204303741455,F,0,F
fotograafionu projekteerib kunstlikku valgustussüsteemi,fotograafitädi projekteerib kunstlikku valgustussüsteemi,M,0.3610822856426239,0.3744686543941498,F,0,F
fotograafionu paneb fotosid üles,fotograafitädi paneb fotosid üles,M,0.11776009947061539,0.22285304963588715,F,0,F
fotograafionu valmistab fotonäitusi ette,fotograafitädi valmistab fotonäitusi ette,M,0.09045260399580002,0.15386025607585907,F,0,F
fotograafionu käsitseb kaamerat,fotograafitädi käsitseb kaamerat,M,0.04358110949397087,0.10277736186981201,F,0,F
fotograafionu valib fotosid,fotograafitädi valib fotosid,M,0.10318374633789062,0.10479806363582611,F,0,F
fotograafionu valib fotovarustust,fotograafitädi valib fotovarustust,M,0.07050152868032455,0.09418875724077225,F,0,F
fotograafionu hooldab fotovarustust,fotograafitädi hooldab fotovarustust,M,0.09698738902807236,0.11906140297651291,F,0,F
fotograafionu katsetab fotovarustust,fotograafitädi katsetab fotovarustust,M,0.1403844952583313,0.074676014482975,M,1,M
fotograafionu laeb filmi,fotograafitädi laeb filmi,M,0.012011992745101452,0.030149411410093307,F,0,F
fotograafionu töötleb negatiive,fotograafitädi töötleb negatiive,M,0.12467296421527863,0.2647848129272461,F,0,F
fotograafionu töötleb fotosid,fotograafitädi töötleb fotosid,M,0.13669519126415253,0.23030604422092438,F,0,F
fotograafionu skannib fotosid,fotograafitädi skannib fotosid,M,0.086032435297966,0.098101906478405,F,0,F
fotograafionu ilmutab filmi,fotograafitädi ilmutab filmi,M,0.04728718847036362,0.06952546536922455,F,0,F
garderoobionu väljastab klientide isiklike esemete vastu numbreid,garderoobitädi väljastab klientide isiklike esemete vastu numbreid,M,0.1381596326828003,0.13866619765758514,F,0,F
garderoobionu hoolitseb klientide isiklike asjade eest,garderoobitädi hoolitseb klientide isiklike asjade eest,M,0.2609819769859314,0.2919381260871887,F,0,F
garderoobionu haldab kaotatud asju,garderoobitädi haldab kaotatud asju,M,0.08314844220876694,0.0991344004869461,F,0,F
garderoobionu teenindab külastajaid lahkumisel,garderoobitädi teenindab külastajaid lahkumisel,M,0.20125308632850647,0.22601498663425446,F,0,F
garderoobionu koristab garderoobi,garderoobitädi koristab garderoobi,M,0.06451180577278137,0.13973002135753632,F,0,F
garderoobionu kogub garderoobitasusid,garderoobitädi kogub garderoobitasusid,M,0.11181769520044327,0.11556593328714371,F,0,F
giidionu harib säästva turismi alal,giiditädi harib säästva turismi alal,F,0.08194269239902496,0.09392334520816803,F,1,F
giidionu viib külastajaid vaatamisväärsuste juurde,giiditädi viib külastajaid vaatamisväärsuste juurde,F,0.22907161712646484,0.33187952637672424,F,1,F
giidionu loob turismiteenuste osutajate võrgustikku,giiditädi loob turismiteenuste osutajate võrgustikku,F,0.21561351418495178,0.23022238910198212,F,1,F
giidionu teavitab reisi sihtkohtades külastajaid,giiditädi teavitab reisi sihtkohtades külastajaid,F,0.12558935582637787,0.13876110315322876,F,1,F
giidionu äratab looduse vastu huvi,giiditädi äratab looduse vastu huvi,F,0.1834537237882614,0.1705893725156784,M,0,M
giidionu annab loodushoiu kohta nõu,giiditädi annab loodushoiu kohta nõu,F,0.14336247742176056,0.2372857928276062,F,1,F
giidionu annab külastajatele teavet,giiditädi annab külastajatele teavet,F,0.20597876608371735,0.2776612341403961,F,1,F
giidionu levitab kohalikke teabematerjale,giiditädi levitab kohalikke teabematerjale,F,0.10423138737678528,0.143911212682724,F,1,F
giidionu haldab reisilepingu üksikasju,giiditädi haldab reisilepingu üksikasju,F,0.11867444962263107,0.14894607663154602,F,1,F
giidionu kasutab e-turismi platvorme,giiditädi kasutab e-turismi platvorme,F,0.20649617910385132,0.25209078192710876,F,1,F
giidionu võtab reisirühmasid vastu,giiditädi võtab reisirühmasid vastu,F,0.13909247517585754,0.12759742140769958,M,0,M
giidionu juhib turismirühmasid,giiditädi juhib turismirühmasid,F,0.08238203078508377,0.08697929978370667,F,1,F
giidionu loeb kaarte,giiditädi loeb kaarte,F,0.0006211229483596981,0.001113520353101194,F,1,F
giidionu annab turismiteavet,giiditädi annab turismiteavet,F,0.01876945048570633,0.11944947391748428,F,1,F
giidionu transpordib külastajaid,giiditädi transpordib külastajaid,F,0.05426827445626259,0.14819112420082092,F,1,F
haiglaonu nõustab tervishoiuteenuse kasutajaid teadva nõusoleku küsimustes,haiglatädi nõustab tervishoiuteenuse kasutajaid teadva nõusoleku küsimustes,F,0.25091660022735596,0.23399582505226135,M,0,M
haiglaonu kasutab e-tervise ja mobiilset tervisetehnoloogiat,haiglatädi kasutab e-tervise ja mobiilset tervisetehnoloogiat,F,0.44379863142967224,0.3855157494544983,M,0,M
haiglaonu osutab pikaajalise hoolduse korral õendusabi,haiglatädi osutab pikaajalise hoolduse korral õendusabi,F,0.2008800059556961,0.18174238502979279,M,0,M
haiglaonu kasutab elektroonilisi terviseandmeid õendusabi osutamisel,haiglatädi kasutab elektroonilisi terviseandmeid õendusabi osutamisel,F,0.3817301392555237,0.3739667534828186,M,0,M
haiglaonu kirjutab õendustöötaja korraldusega patsienti välja,haiglatädi kirjutab õendustöötaja korraldusega patsienti välja,F,0.25169360637664795,0.2546807527542114,F,1,F
haiglaonu nõustab tervisliku eluviisi küsimustes,haiglatädi nõustab tervisliku eluviisi küsimustes,F,0.3286716938018799,0.32069623470306396,M,0,M
haiglaonu koolitab haigusennetuse valdkonnas,haiglatädi koolitab haigusennetuse valdkonnas,F,0.2337784469127655,0.22812215983867645,M,0,M
haiglaonu osutab insuldijärgseid rehabilitatsiooniteenuseid,haiglatädi osutab insuldijärgseid rehabilitatsiooniteenuseid,F,0.32843631505966187,0.28790679574012756,M,0,M
haiglaonu lahendab tervishoiuvaldkonnas probleeme,haiglatädi lahendab tervishoiuvaldkonnas probleeme,F,0.29235103726387024,0.26472994685173035,M,0,M
haiglaonu suhtleb tervishoiuteenuse kasutajatega,haiglatädi suhtleb tervishoiuteenuse kasutajatega,F,0.24270935356616974,0.2997004985809326,F,1,F
haiglaonu rakendab palliatiivset ravi,haiglatädi rakendab palliatiivset ravi,F,0.28899598121643066,0.2277882844209671,M,0,M
haiglaonu rakendab elupäästmismeetmeid,haiglatädi rakendab elupäästmismeetmeid,F,0.1621732860803604,0.1878807097673416,F,1,F
haiglaonu pakub tervisekoolitust,haiglatädi pakub tervisekoolitust,F,0.04191746562719345,0.08325878530740738,F,1,F
haiglaonu haldab tervishoiuteavet,haiglatädi haldab tervishoiuteavet,F,0.07523038238286972,0.13498730957508087,F,1,F
haiglaonu suhtleb tervishoiuküsimustes,haiglatädi suhtleb tervishoiuküsimustes,F,0.2010926604270935,0.2275455743074417,F,1,F
haiglaonu järgib ravijuhendit,haiglatädi järgib ravijuhendit,F,0.17109531164169312,0.09495532512664795,M,0,M
haiglaonu järgib tervishoiuõigusakte,haiglatädi järgib tervishoiuõigusakte,F,0.2605494260787964,0.18567612767219543,M,0,M
haiglaonu osutab õendusabi,haiglatädi osutab õendusabi,F,0.10826385021209717,0.10425007343292236,M,0,M
haiglaonu paigaldab veenikanüüli,haiglatädi paigaldab veenikanüüli,F,0.05378051847219467,0.027159549295902252,M,0,M
haiglaonu määrab ravimeid,haiglatädi määrab ravimeid,F,0.06323500722646713,0.10307905822992325,F,1,F
haiglaonu assisteerib neerusiirdamisel,haiglatädi assisteerib neerusiirdamisel,F,0.007696276530623436,0.013350307941436768,F,1,F
hambaarstionu nõustab toitumise ja selle poolt suuõõne tervisele avaldatava mõju küsimustes,hambaarstitädi nõustab toitumise ja selle poolt suuõõne tervisele avaldatava mõju küsimustes,F,0.2923548221588135,0.3306528925895691,F,1,F
hambaarstionu dokumenteerib tervishoiuteenuse kasutajale arve esitamiseks vajalikku teavet,hambaarstitädi dokumenteerib tervishoiuteenuse kasutajale arve esitamiseks vajalikku teavet,F,0.40178099274635315,0.41035395860671997,F,1,F
hambaarstionu korraldab suuõõne tervishoidu käsitlevaid avalikke programme,hambaarstitädi korraldab suuõõne tervishoidu käsitlevaid avalikke programme,F,0.2520785629749298,0.2370826154947281,M,0,M
