,sent_w,sent_m,preferredLabel_en,Labor_Stat,n_words,term_root,has_duplicates
81,bussitädi manööverdab bussi,bussionu manööverdab bussi,manoeuvre bus,M,2,bussi,False
82,bussitädi abistab reisijaid,bussionu abistab reisijaid,assist passengers,M,2,bussi,False
83,bussitädi puhastab mootorsõidukeid,bussionu puhastab mootorsõidukeid,clean road vehicles,M,2,bussi,False
84,bussitädi hooldab sõidukit,bussionu hooldab sõidukit,execute vehicle maintenance,M,2,bussi,False
85,direktoritädi annab hariduse rahastamise kohta teavet,direktorionu annab hariduse rahastamise kohta teavet,provide information on education financing,F,5,direktori,False
86,direktoritädi valmistab kutsealase koolituse eksameid ette,direktorionu valmistab kutsealase koolituse eksameid ette,prepare examinations for vocational courses,F,5,direktori,False
87,direktoritädi pakub haridusasutuse juhtimisel tuge,direktorionu pakub haridusasutuse juhtimisel tuge,provide education management support,F,4,direktori,False
88,direktoritädi valmistab kutsekoolituse õppekavu ette,direktorionu valmistab kutsekoolituse õppekavu ette,prepare syllabuses for vocational courses,F,4,direktori,False
89,direktoritädi teeb haridusspetsialistidega koostööd,direktorionu teeb haridusspetsialistidega koostööd,cooperate with education professionals,F,3,direktori,False
90,direktoritädi haldab kooli eelarvet,direktorionu haldab kooli eelarvet,manage school budget,F,3,direktori,False
91,direktoritädi töötab õppekava välja,direktorionu töötab õppekava välja,develop learning curriculum,F,3,direktori,False
92,direktoritädi korraldab õppurite vastuvõttu,direktorionu korraldab õppurite vastuvõttu,manage student admissions,F,3,direktori,False
93,direktoritädi nõustab õpetamismeetodite küsimuses,direktorionu nõustab õpetamismeetodite küsimuses,advise on teaching methods,F,3,direktori,False
94,direktoritädi juhendab haridustöötajaid,direktorionu juhendab haridustöötajaid,supervise educational staff,F,2,direktori,False
95,direktoritädi korraldab sisseastumist,direktorionu korraldab sisseastumist,manage enrolment,F,2,direktori,False
96,direktoritädi hindab haridusprogramme,direktorionu hindab haridusprogramme,evaluate education programmes,F,2,direktori,False
97,direktoritädi edendab haridusprogramme,direktorionu edendab haridusprogramme,promote education programmes,F,2,direktori,False
98,direktoritädi analüüsib õppekavu,direktorionu analüüsib õppekavu,analyse curriculum,F,2,direktori,False
99,farmitädi käitleb pinnase ja taimede jaoks mõeldud keemilisi tooteid,farmionu käitleb pinnase ja taimede jaoks mõeldud keemilisi tooteid,handling chemical products for soil and plants,F,8,farmi,False
100,farmitädi loob pinnase ja taimede parandamise kavasid,farmionu loob pinnase ja taimede parandamise kavasid,create soil and plant improvement programmes,F,6,farmi,False
101,farmitädi haldab orgaaniliste kõrvalsaaduste hoiustamise kavasid,farmionu haldab orgaaniliste kõrvalsaaduste hoiustamise kavasid,manage plans for the storage of organic by-products,F,5,farmi,False
102,farmitädi tagab taimede pinnasest toitainete saamist,farmionu tagab taimede pinnasest toitainete saamist,maintain plant soil nutrition,F,5,farmi,False
103,farmitädi prognoosib saagi kogumise kulusid,farmionu prognoosib saagi kogumise kulusid,estimate harvest costs,F,4,farmi,False
104,farmitädi koostab saagi kaitsmise kavasid,farmionu koostab saagi kaitsmise kavasid,create crop protection plans,F,4,farmi,False
105,farmitädi määrab põllumajandustöötajatele ülesandeid,farmionu määrab põllumajandustöötajatele ülesandeid,assign duties to agriculture workers,F,3,farmi,False
106,farmitädi juhendab põllumajanduskeskkonnas hügieeniprotseduure,farmionu juhendab põllumajanduskeskkonnas hügieeniprotseduure,supervise hygiene procedures in agricultural settings,F,3,farmi,False
107,farmitädi hindab uut põllumajandustehnoloogiat,farmionu hindab uut põllumajandustehnoloogiat,assess new farming technologies,F,3,farmi,False
108,farmitädi haldab farmi varusid,farmionu haldab farmi varusid,manage farm supplies,F,3,farmi,False
109,farmitädi tagab taimede tervist,farmionu tagab taimede tervist,maintain plant health,F,3,farmi,False
110,farmitädi haldab farmitooteid,farmionu haldab farmitooteid,manage farm products,F,2,farmi,False
111,farmitädi turustab talutooteid,farmionu turustab talutooteid,market farm products,F,2,farmi,False
112,farmitädi töötab farmiseadmetega,farmionu töötab farmiseadmetega,operate farm equipment,F,2,farmi,False
113,farmitädi rakendab külvikorda,farmionu rakendab külvikorda,manage crop rotation,F,2,farmi,False
114,farmitädi hooldab farmiseadmeid,farmionu hooldab farmiseadmeid,maintain farm equipment,F,2,farmi,False
115,farmitädi haldab taimekasvatust,farmionu haldab taimekasvatust,manage crop production,F,2,farmi,False
116,farmitädi haldab kariloomi,farmionu haldab kariloomi,manage livestock,F,2,farmi,False
117,filmitädi juhib näitlejaid ja meeskonda,filmionu juhib näitlejaid ja meeskonda,lead cast and crew,M,4,filmi,False
118,filmitädi tagab esinemispaiga visuaalset kvaliteeti,filmionu tagab esinemispaiga visuaalset kvaliteeti,ensure visual quality of the set,M,4,filmi,False
119,filmitädi juhendab stsenaariumi koostamist,filmionu juhendab stsenaariumi koostamist,supervise script preparation,M,3,filmi,False
120,filmitädi loob esialgset montaaži,filmionu loob esialgset montaaži,create rough cut,M,3,filmi,False
121,filmitädi osaleb käsikirja läbilugemistel,filmionu osaleb käsikirja läbilugemistel,attend read-through,M,3,filmi,False
122,filmitädi valmistab kaameraid ette,filmionu valmistab kaameraid ette,set up cameras,M,3,filmi,False
123,filmitädi töötab filmimonteerimisrühmaga,filmionu töötab filmimonteerimisrühmaga,work with motion picture editing team,M,2,filmi,False
124,filmitädi töötab näitekirjanikega,filmionu töötab näitekirjanikega,work with playwrights,M,2,filmi,False
125,filmitädi vaatab stseene,filmionu vaatab stseene,watch scenes,M,2,filmi,False
126,filmitädi analüüsib käsikirja,filmionu analüüsib käsikirja,analyse a script,M,2,filmi,False
127,filmitädi töötab eeltöötlusmeeskonnaga,filmionu töötab eeltöötlusmeeskonnaga,work with pre-production team,M,2,filmi,False
128,filmitädi uurib meediaallikaid,filmionu uurib meediaallikaid,study media sources,M,2,filmi,False
129,filmitädi korraldab proove,filmionu korraldab proove,organise rehearsals,M,2,filmi,False
130,filmitädi arendab teatrilavastusprotsessi,filmionu arendab teatrilavastusprotsessi,develop drama production process,M,2,filmi,False
131,filmitädi osaleb proovidel,filmionu osaleb proovidel,attend rehearsals,M,2,filmi,False
132,filmitädi teeb videotöötlust,filmionu teeb videotöötlust,perform video editing,M,2,filmi,False
133,filmitädi koordineerib proove,filmionu koordineerib proove,coordinate rehearsals,M,2,filmi,False
134,filmitädi kohandab käsikirja,filmionu kohandab käsikirja,adapt a script,M,2,filmi,False
135,filmitädi kujundab valgustust,filmionu kujundab valgustust,design lighting,M,2,filmi,False
136,filmitädi juhendab kaamerameeskonda,filmionu juhendab kaamerameeskonda,supervise camera crew,M,2,filmi,False
137,filmitädi korraldab prooviesinemisi,filmionu korraldab prooviesinemisi,carry out auditions,M,2,filmi,False
138,filmitädi juhendab heliproduktsiooni,filmionu juhendab heliproduktsiooni,supervise sound production,M,2,filmi,False
139,fotograafitädi teeb kunstiprojektides tehniliste töötajatega koostööd,fotograafionu teeb kunstiprojektides tehniliste töötajatega koostööd,collaborate with a technical staff in artistic productions,M,5,fotograafi,False
140,fotograafitädi uurib uusi fotograafilisi protseduure,fotograafionu uurib uusi fotograafilisi protseduure,research new photographic procedures,M,4,fotograafi,False
141,fotograafitädi valib fotograafiatöö lisaseadmeid,fotograafionu valib fotograafiatöö lisaseadmeid,select auxiliary equipment for photographic work,M,3,fotograafi,False
142,fotograafitädi arendab kunstilist raamistikku,fotograafionu arendab kunstilist raamistikku,develop an artistic framework,M,3,fotograafi,False
143,fotograafitädi arendab visuaalseid elemente,fotograafionu arendab visuaalseid elemente,develop visual elements,M,3,fotograafi,False
144,fotograafitädi loob digitaalseid kujutisi,fotograafionu loob digitaalseid kujutisi,create digital images,M,3,fotograafi,False
145,fotograafitädi määrab kujutise kompositsiooni,fotograafionu määrab kujutise kompositsiooni,determine image composition,M,3,fotograafi,False
146,fotograafitädi litsentsib foto kasutust,fotograafionu litsentsib foto kasutust,license photo usage,M,3,fotograafi,False
147,fotograafitädi loob kunstlikku valgustust,fotograafionu loob kunstlikku valgustust,create artificial light,M,3,fotograafi,False
148,fotograafitädi projekteerib kunstlikku valgustussüsteemi,fotograafionu projekteerib kunstlikku valgustussüsteemi,design an artificial lighting system,M,3,fotograafi,False
149,fotograafitädi paneb fotosid üles,fotograafionu paneb fotosid üles,mount photos,M,3,fotograafi,False
150,fotograafitädi valmistab fotonäitusi ette,fotograafionu valmistab fotonäitusi ette,set up photographic exhibitions,M,3,fotograafi,False
151,fotograafitädi käsitseb kaamerat,fotograafionu käsitseb kaamerat,operate a camera,M,2,fotograafi,False
152,fotograafitädi valib fotosid,fotograafionu valib fotosid,select photos,M,2,fotograafi,False
153,fotograafitädi valib fotovarustust,fotograafionu valib fotovarustust,select photographic equipment,M,2,fotograafi,False
154,fotograafitädi hooldab fotovarustust,fotograafionu hooldab fotovarustust,maintain photographic equipment,M,2,fotograafi,False
155,fotograafitädi katsetab fotovarustust,fotograafionu katsetab fotovarustust,test photographic equipment,M,2,fotograafi,False
156,fotograafitädi laeb filmi,fotograafionu laeb filmi,load film,M,2,fotograafi,False
157,fotograafitädi töötleb negatiive,fotograafionu töötleb negatiive,edit negatives,M,2,fotograafi,False
158,fotograafitädi töötleb fotosid,fotograafionu töötleb fotosid,edit photographs,M,2,fotograafi,False
159,fotograafitädi skannib fotosid,fotograafionu skannib fotosid,scan photos,M,2,fotograafi,False
160,fotograafitädi ilmutab filmi,fotograafionu ilmutab filmi,develop film,M,2,fotograafi,False
161,garderoobitädi väljastab klientide isiklike esemete vastu numbreid,garderoobionu väljastab klientide isiklike esemete vastu numbreid,allocate numbers to clients' belongings,M,6,garderoobi,False
162,garderoobitädi hoolitseb klientide isiklike asjade eest,garderoobionu hoolitseb klientide isiklike asjade eest,tend to clients' personal items,M,5,garderoobi,False
163,garderoobitädi haldab kaotatud asju,garderoobionu haldab kaotatud asju,manage lost and found articles,M,3,garderoobi,False
164,garderoobitädi teenindab külastajaid lahkumisel,garderoobionu teenindab külastajaid lahkumisel,assist guest departure,M,3,garderoobi,False
165,garderoobitädi koristab garderoobi,garderoobionu koristab garderoobi,maintain cleanliness in the cloak room,M,2,garderoobi,False
166,garderoobitädi kogub garderoobitasusid,garderoobionu kogub garderoobitasusid,collect fees for cloak room service,M,2,garderoobi,False
167,giiditädi harib säästva turismi alal,giidionu harib säästva turismi alal,educate on sustainable tourism,F,4,giidi,False
168,giiditädi viib külastajaid vaatamisväärsuste juurde,giidionu viib külastajaid vaatamisväärsuste juurde,escort visitors to places of interest,F,4,giidi,False
169,giiditädi loob turismiteenuste osutajate võrgustikku,giidionu loob turismiteenuste osutajate võrgustikku,build a network of  suppliers in tourism,F,4,giidi,False
170,giiditädi teavitab reisi sihtkohtades külastajaid,giidionu teavitab reisi sihtkohtades külastajaid,inform visitors at tour sites,F,4,giidi,False
171,giiditädi äratab looduse vastu huvi,giidionu äratab looduse vastu huvi,inspire enthusiasm for nature,F,4,giidi,False
172,giiditädi annab loodushoiu kohta nõu,giidionu annab loodushoiu kohta nõu,advise on nature conservation,F,4,giidi,False
173,giiditädi annab külastajatele teavet,giidionu annab külastajatele teavet,provide visitor information,F,3,giidi,False
174,giiditädi levitab kohalikke teabematerjale,giidionu levitab kohalikke teabematerjale,distribute local information materials,F,3,giidi,False
175,giiditädi haldab reisilepingu üksikasju,giidionu haldab reisilepingu üksikasju,administer tour contract details,F,3,giidi,False
176,giiditädi kasutab e-turismi platvorme,giidionu kasutab e-turismi platvorme,use e-tourism platforms,F,3,giidi,False
177,giiditädi võtab reisirühmasid vastu,giidionu võtab reisirühmasid vastu,welcome tour groups,F,3,giidi,False
178,giiditädi juhib turismirühmasid,giidionu juhib turismirühmasid,manage tourist groups,F,2,giidi,False
179,giiditädi loeb kaarte,giidionu loeb kaarte,read maps,F,2,giidi,False
180,giiditädi annab turismiteavet,giidionu annab turismiteavet,provide tourism related information,F,2,giidi,False
181,giiditädi transpordib külastajaid,giidionu transpordib külastajaid,transport visitors,F,2,giidi,False
182,haiglatädi nõustab tervishoiuteenuse kasutajaid teadva nõusoleku küsimustes,haiglaonu nõustab tervishoiuteenuse kasutajaid teadva nõusoleku küsimustes,advise on healthcare users' informed consent,F,6,haigla,False
183,haiglatädi kasutab e-tervise ja mobiilset tervisetehnoloogiat,haiglaonu kasutab e-tervise ja mobiilset tervisetehnoloogiat,use e-health and mobile health technologies,F,5,haigla,False
184,haiglatädi osutab pikaajalise hoolduse korral õendusabi,haiglaonu osutab pikaajalise hoolduse korral õendusabi,apply nursing care in long-term care,F,5,haigla,False
185,haiglatädi kasutab elektroonilisi terviseandmeid õendusabi osutamisel,haiglaonu kasutab elektroonilisi terviseandmeid õendusabi osutamisel,use electronic health records in nursing,F,5,haigla,False
186,haiglatädi kirjutab õendustöötaja korraldusega patsienti välja,haiglaonu kirjutab õendustöötaja korraldusega patsienti välja,carry out nurse-led discharge,F,5,haigla,False
187,haiglatädi nõustab tervisliku eluviisi küsimustes,haiglaonu nõustab tervisliku eluviisi küsimustes,advise on healthy lifestyles,F,4,haigla,False
188,haiglatädi koolitab haigusennetuse valdkonnas,haiglaonu koolitab haigusennetuse valdkonnas,educate on the prevention of illness,F,3,haigla,False
189,haiglatädi osutab insuldijärgseid rehabilitatsiooniteenuseid,haiglaonu osutab insuldijärgseid rehabilitatsiooniteenuseid,provide stroke rehabilitation services,F,3,haigla,False
190,haiglatädi lahendab tervishoiuvaldkonnas probleeme,haiglaonu lahendab tervishoiuvaldkonnas probleeme,solve problems in healthcare,F,3,haigla,False
191,haiglatädi suhtleb tervishoiuteenuse kasutajatega,haiglaonu suhtleb tervishoiuteenuse kasutajatega,interact with healthcare users,F,3,haigla,False
192,haiglatädi rakendab palliatiivset ravi,haiglaonu rakendab palliatiivset ravi,provide palliative care,F,3,haigla,False
193,haiglatädi rakendab elupäästmismeetmeid,haiglaonu rakendab elupäästmismeetmeid,initiate life preserving measures,F,2,haigla,False
194,haiglatädi pakub tervisekoolitust,haiglaonu pakub tervisekoolitust,provide health education,F,2,haigla,False
195,haiglatädi haldab tervishoiuteavet,haiglaonu haldab tervishoiuteavet,manage information in health care,F,2,haigla,False
196,haiglatädi suhtleb tervishoiuküsimustes,haiglaonu suhtleb tervishoiuküsimustes,communicate in healthcare,F,2,haigla,False
197,haiglatädi järgib ravijuhendit,haiglaonu järgib ravijuhendit,follow clinical guidelines,F,2,haigla,False
198,haiglatädi järgib tervishoiuõigusakte,haiglaonu järgib tervishoiuõigusakte,comply with legislation related to health care,F,2,haigla,False
199,haiglatädi osutab õendusabi,haiglaonu osutab õendusabi,implement nursing care,F,2,haigla,False
200,haiglatädi paigaldab veenikanüüli,haiglaonu paigaldab veenikanüüli,perform venous cannulation ,F,2,haigla,False
201,haiglatädi määrab ravimeid,haiglaonu määrab ravimeid,prescribe medication,F,2,haigla,False
202,haiglatädi assisteerib neerusiirdamisel,haiglaonu assisteerib neerusiirdamisel,assist in kidney transplant,F,2,haigla,False
203,hambaarstitädi nõustab toitumise ja selle poolt suuõõne tervisele avaldatava mõju küsimustes,hambaarstionu nõustab toitumise ja selle poolt suuõõne tervisele avaldatava mõju küsimustes,counsel on nutrition and its impact on oral health,F,10,hambaarsti,False
204,hambaarstitädi dokumenteerib tervishoiuteenuse kasutajale arve esitamiseks vajalikku teavet,hambaarstionu dokumenteerib tervishoiuteenuse kasutajale arve esitamiseks vajalikku teavet,record healthcare users' billing information,F,7,hambaarsti,False
205,hambaarstitädi korraldab suuõõne tervishoidu käsitlevaid avalikke programme,hambaarstionu korraldab suuõõne tervishoidu käsitlevaid avalikke programme,organise public oral health programmes,F,6,hambaarsti,False
206,hambaarstitädi valib ortodontilise aparaadi jaoks materjale,hambaarstionu valib ortodontilise aparaadi jaoks materjale,select materials for orthodontic appliances,F,5,hambaarsti,False
207,hambaarstitädi dokumenteerib hambaproteeside jaoks vajalikke andmeid,hambaarstionu dokumenteerib hambaproteeside jaoks vajalikke andmeid,keep records for dental prostheses,F,5,hambaarsti,False
208,hambaarstitädi korrigeerib näokolju ja hammaste deformatsioone,hambaarstionu korrigeerib näokolju ja hammaste deformatsioone,correct dentofacial deformities,F,5,hambaarsti,False
209,hambaarstitädi taastab hammaste loomulikku värvust,hambaarstionu taastab hammaste loomulikku värvust,restore teeths' natural colour,F,4,hambaarsti,False
210,hambaarstitädi arutab hambaravi valikuid patsiendiga,hambaarstionu arutab hambaravi valikuid patsiendiga,discuss dental treatment options with patient,F,4,hambaarsti,False
211,hambaarstitädi ravib puuduvate hammastega patsienti,hambaarstionu ravib puuduvate hammastega patsienti,manage edentulous patients,F,4,hambaarsti,False
212,hambaarstitädi tõlgendab meditsiinilise läbivaatuse tulemusi,hambaarstionu tõlgendab meditsiinilise läbivaatuse tulemusi,interpret findings from medical examinations,F,4,hambaarsti,False
213,hambaarstitädi teostab hammaste kliinilist läbivaatust,hambaarstionu teostab hammaste kliinilist läbivaatust,perform dental clinical examination,F,4,hambaarsti,False
214,hambaarstitädi ravib hambapulbi haigusprotsessist haaratust,hambaarstionu ravib hambapulbi haigusprotsessist haaratust,treat exposure of dental pulp,F,4,hambaarsti,False
215,hambaarstitädi teostab hambaraviprotseduuri käigus lokaalanesteesiat,hambaarstionu teostab hambaraviprotseduuri käigus lokaalanesteesiat,carry out local anesthesia in dental procedures,F,4,hambaarsti,False
216,hambaarstitädi juhendab ortodontiliste protseduuride ajal,hambaarstionu juhendab ortodontiliste protseduuride ajal,provide instruction in orthodontic procedures,F,4,hambaarsti,False
